"","sample.size","estimate","estimator","subset","simulation"
"ipw","100",1.00370559355414,"ipw","all.covariates","A"
"t-learner","100",0.810562034292526,"t-learner","all.covariates","A"
"aipw","100",0.813739454947757,"aipw","all.covariates","A"
"ipw1","100",1.02563253017167,"ipw","smart","A"
"t-learner1","100",0.757473174961158,"t-learner","smart","A"
"aipw1","100",0.880555207613095,"aipw","smart","A"
"ipw2","100",1.17052100123567,"ipw","minimal.set","A"
"t-learner2","100",0.766485991261054,"t-learner","minimal.set","A"
"aipw2","100",0.923923660611543,"aipw","minimal.set","A"
"ipw3","100",1.05421830636207,"ipw","all.covariates","B"
"t-learner3","100",1.12193505401862,"t-learner","all.covariates","B"
"aipw3","100",1.12565486037161,"aipw","all.covariates","B"
"ipw4","100",0.990176569423945,"ipw","smart","B"
"t-learner4","100",1.1249689284646,"t-learner","smart","B"
"aipw4","100",1.13970924741654,"aipw","smart","B"
"ipw5","100",0.973099914908575,"ipw","minimal.set","B"
"t-learner5","100",1.05495856477906,"t-learner","minimal.set","B"
"aipw5","100",1.15165034342075,"aipw","minimal.set","B"
"ipw6","100",0.619608757685197,"ipw","all.covariates","C"
"t-learner6","100",0.362699322871741,"t-learner","all.covariates","C"
"aipw6","100",0.20250373240569,"aipw","all.covariates","C"
"ipw7","100",0.376271569750288,"ipw","smart","C"
"t-learner7","100",0.721527431676813,"t-learner","smart","C"
"aipw7","100",0.294335475065075,"aipw","smart","C"
"ipw8","100",0.558184874200899,"ipw","minimal.set","C"
"t-learner8","100",0.517012162098871,"t-learner","minimal.set","C"
"aipw8","100",0.61282384762326,"aipw","minimal.set","C"
"ipw9","100",1.12796661343361,"ipw","all.covariates","D"
"t-learner9","100",0.964682517149202,"t-learner","all.covariates","D"
"aipw9","100",0.734565734277337,"aipw","all.covariates","D"
"ipw10","100",1.145263508824,"ipw","smart","D"
"t-learner10","100",0.85297528324757,"t-learner","smart","D"
"aipw10","100",0.501422349043973,"aipw","smart","D"
"ipw11","100",1.19937169482778,"ipw","minimal.set","D"
"t-learner11","100",0.842016989573372,"t-learner","minimal.set","D"
"aipw11","100",-0.496077260048627,"aipw","minimal.set","D"
"ipw12","100",0.66740060736489,"ipw","all.covariates","A"
"t-learner12","100",0.944929995583039,"t-learner","all.covariates","A"
"aipw12","100",0.927821081486089,"aipw","all.covariates","A"
"ipw13","100",1.27766339573863,"ipw","smart","A"
"t-learner13","100",0.973405191471306,"t-learner","smart","A"
"aipw13","100",0.928271359924137,"aipw","smart","A"
"ipw14","100",1.37847920817631,"ipw","minimal.set","A"
"t-learner14","100",0.951570638677685,"t-learner","minimal.set","A"
"aipw14","100",0.954641316394944,"aipw","minimal.set","A"
"ipw15","100",0.525481521819356,"ipw","all.covariates","B"
"t-learner15","100",0.651960631955011,"t-learner","all.covariates","B"
"aipw15","100",0.617030086066034,"aipw","all.covariates","B"
"ipw16","100",0.559017363922629,"ipw","smart","B"
"t-learner16","100",0.634966054872043,"t-learner","smart","B"
"aipw16","100",0.661236997433425,"aipw","smart","B"
"ipw17","100",0.696894825837327,"ipw","minimal.set","B"
"t-learner17","100",0.635981491932211,"t-learner","minimal.set","B"
"aipw17","100",0.821316228131241,"aipw","minimal.set","B"
"ipw18","100",-0.197872096728408,"ipw","all.covariates","C"
"t-learner18","100",-0.305260313706246,"t-learner","all.covariates","C"
"aipw18","100",-0.397241564043731,"aipw","all.covariates","C"
"ipw19","100",-0.438324880836627,"ipw","smart","C"
"t-learner19","100",-0.21534481652444,"t-learner","smart","C"
"aipw19","100",-0.487212088285349,"aipw","smart","C"
"ipw20","100",-0.412410808174012,"ipw","minimal.set","C"
"t-learner20","100",-0.442036356460225,"t-learner","minimal.set","C"
"aipw20","100",-0.499169227197526,"aipw","minimal.set","C"
"ipw21","100",0.31310908159384,"ipw","all.covariates","D"
"t-learner21","100",0.222223120166618,"t-learner","all.covariates","D"
"aipw21","100",0.179347345013223,"aipw","all.covariates","D"
"ipw22","100",0.31352594101434,"ipw","smart","D"
"t-learner22","100",0.249754477270167,"t-learner","smart","D"
"aipw22","100",0.177822423367544,"aipw","smart","D"
"ipw23","100",1.40597073528941,"ipw","minimal.set","D"
"t-learner23","100",0.191234374186946,"t-learner","minimal.set","D"
"aipw23","100",0.765670175192439,"aipw","minimal.set","D"
"ipw24","100",0.841086436087665,"ipw","all.covariates","A"
"t-learner24","100",0.857944212822417,"t-learner","all.covariates","A"
"aipw24","100",0.845604231061727,"aipw","all.covariates","A"
"ipw25","100",0.87222256211575,"ipw","smart","A"
"t-learner25","100",0.865575543477169,"t-learner","smart","A"
"aipw25","100",0.810092454490151,"aipw","smart","A"
"ipw26","100",0.761089695632736,"ipw","minimal.set","A"
"t-learner26","100",0.88512261330404,"t-learner","minimal.set","A"
"aipw26","100",0.770876199456535,"aipw","minimal.set","A"
"ipw27","100",1.03351766088717,"ipw","all.covariates","B"
"t-learner27","100",0.71413467045932,"t-learner","all.covariates","B"
"aipw27","100",0.869871607029271,"aipw","all.covariates","B"
"ipw28","100",1.17167021432231,"ipw","smart","B"
"t-learner28","100",0.68744841629384,"t-learner","smart","B"
"aipw28","100",1.00214214694664,"aipw","smart","B"
"ipw29","100",1.28555183440847,"ipw","minimal.set","B"
"t-learner29","100",0.733275405661206,"t-learner","minimal.set","B"
"aipw29","100",0.88774488795926,"aipw","minimal.set","B"
"ipw30","100",0.980073037587948,"ipw","all.covariates","C"
"t-learner30","100",0.999020023699045,"t-learner","all.covariates","C"
"aipw30","100",1.11041747088254,"aipw","all.covariates","C"
"ipw31","100",0.716016152990995,"ipw","smart","C"
"t-learner31","100",1.07710583496584,"t-learner","smart","C"
"aipw31","100",0.861443022094756,"aipw","smart","C"
"ipw32","100",1.02254269848329,"ipw","minimal.set","C"
"t-learner32","100",1.10883485818522,"t-learner","minimal.set","C"
"aipw32","100",0.815801848393251,"aipw","minimal.set","C"
"ipw33","100",0.562261637199556,"ipw","all.covariates","D"
"t-learner33","100",0.445718807202405,"t-learner","all.covariates","D"
"aipw33","100",0.466324909644637,"aipw","all.covariates","D"
"ipw34","100",0.405391770783523,"ipw","smart","D"
"t-learner34","100",0.406138746912622,"t-learner","smart","D"
"aipw34","100",0.455277343744021,"aipw","smart","D"
"ipw35","100",0.444945760577418,"ipw","minimal.set","D"
"t-learner35","100",0.477515467185579,"t-learner","minimal.set","D"
"aipw35","100",0.207770167361987,"aipw","minimal.set","D"
"ipw36","100",1.08699713371547,"ipw","all.covariates","A"
"t-learner36","100",0.911660638869767,"t-learner","all.covariates","A"
"aipw36","100",0.890157297841007,"aipw","all.covariates","A"
"ipw37","100",1.25997168121947,"ipw","smart","A"
"t-learner37","100",0.885498712615834,"t-learner","smart","A"
"aipw37","100",0.836347852557029,"aipw","smart","A"
"ipw38","100",1.76929540610419,"ipw","minimal.set","A"
"t-learner38","100",0.935768313700733,"t-learner","minimal.set","A"
"aipw38","100",0.787889115239832,"aipw","minimal.set","A"
"ipw39","100",0.6365491774201,"ipw","all.covariates","B"
"t-learner39","100",0.554056510825464,"t-learner","all.covariates","B"
"aipw39","100",0.721227062140349,"aipw","all.covariates","B"
"ipw40","100",0.596716700253607,"ipw","smart","B"
"t-learner40","100",0.541405224936689,"t-learner","smart","B"
"aipw40","100",0.602723074790509,"aipw","smart","B"
"ipw41","100",0.514725137818543,"ipw","minimal.set","B"
"t-learner41","100",0.585813879817666,"t-learner","minimal.set","B"
"aipw41","100",0.551930298310752,"aipw","minimal.set","B"
"ipw42","100",-1.21563720470274,"ipw","all.covariates","C"
"t-learner42","100",-0.821217094114163,"t-learner","all.covariates","C"
"aipw42","100",-1.13219854075345,"aipw","all.covariates","C"
"ipw43","100",-1.43356964367801,"ipw","smart","C"
"t-learner43","100",-0.905405055174195,"t-learner","smart","C"
"aipw43","100",-1.26265302432086,"aipw","smart","C"
"ipw44","100",-0.891892144086259,"ipw","minimal.set","C"
"t-learner44","100",-0.851525226587702,"t-learner","minimal.set","C"
"aipw44","100",-0.99219045289563,"aipw","minimal.set","C"
"ipw45","100",1.01653472482936,"ipw","all.covariates","D"
"t-learner45","100",0.528051073450442,"t-learner","all.covariates","D"
"aipw45","100",0.480187722765094,"aipw","all.covariates","D"
"ipw46","100",3.32092605490644,"ipw","smart","D"
"t-learner46","100",0.597039531330948,"t-learner","smart","D"
"aipw46","100",1.29419145858461,"aipw","smart","D"
"ipw47","100",1.71441060707785,"ipw","minimal.set","D"
"t-learner47","100",0.554488923529057,"t-learner","minimal.set","D"
"aipw47","100",0.272536057333436,"aipw","minimal.set","D"
"ipw48","100",0.957236058638787,"ipw","all.covariates","A"
"t-learner48","100",0.877048887648481,"t-learner","all.covariates","A"
"aipw48","100",0.87004966069704,"aipw","all.covariates","A"
"ipw49","100",0.949561946225448,"ipw","smart","A"
"t-learner49","100",0.862375036213261,"t-learner","smart","A"
"aipw49","100",0.848309943703755,"aipw","smart","A"
"ipw50","100",1.03724548889018,"ipw","minimal.set","A"
"t-learner50","100",0.874506322918603,"t-learner","minimal.set","A"
"aipw50","100",0.832474741983545,"aipw","minimal.set","A"
"ipw51","100",0.799551791003552,"ipw","all.covariates","B"
"t-learner51","100",0.807080816938861,"t-learner","all.covariates","B"
"aipw51","100",0.884432488932734,"aipw","all.covariates","B"
"ipw52","100",0.888317435322538,"ipw","smart","B"
"t-learner52","100",0.877017725967911,"t-learner","smart","B"
"aipw52","100",0.842829580359772,"aipw","smart","B"
"ipw53","100",0.919092768938862,"ipw","minimal.set","B"
"t-learner53","100",0.939443283940924,"t-learner","minimal.set","B"
"aipw53","100",0.80951088764925,"aipw","minimal.set","B"
"ipw54","100",-0.626701526843007,"ipw","all.covariates","C"
"t-learner54","100",-0.473272955860981,"t-learner","all.covariates","C"
"aipw54","100",-0.409787964730428,"aipw","all.covariates","C"
"ipw55","100",-0.242276496260648,"ipw","smart","C"
"t-learner55","100",-0.487086942385695,"t-learner","smart","C"
"aipw55","100",-0.39402337660336,"aipw","smart","C"
"ipw56","100",-0.32881321112256,"ipw","minimal.set","C"
"t-learner56","100",-0.549679224738306,"t-learner","minimal.set","C"
"aipw56","100",-0.549021107127954,"aipw","minimal.set","C"
