"","sample.size","estimate","estimator","subset","simulation"
"1","100",0.675639296269796,"causal.forest","all.covariates.wrong","A"
"2","100",0.988342088820527,"ipw","all.covariates.wrong","A"
"3","100",0.77529806005047,"t-learner","all.covariates.wrong","A"
"4","100",0.803713410070279,"aipw","all.covariates.wrong","A"
"5","100",0.529179381079111,"tmle","all.covariates.wrong","A"
"6","100",0.663491508698684,"causal.forest","all.covariates.correct","A"
"7","100",0.933301585266398,"ipw","all.covariates.correct","A"
"8","100",0.780067182615054,"t-learner","all.covariates.correct","A"
"9","100",0.789187262414201,"aipw","all.covariates.correct","A"
"10","100",0.551977754132969,"tmle","all.covariates.correct","A"
"11","100",0.436677299986671,"causal.forest","minimal.set","A"
"12","100",1.02833792281745,"ipw","minimal.set","A"
"13","100",0.772795535845265,"t-learner","minimal.set","A"
"14","100",0.841892229446893,"aipw","minimal.set","A"
"15","100",0.412901549063808,"tmle","minimal.set","A"
"16","100",0.757410790997054,"causal.forest","all.covariates.wrong","B"
"17","100",0.857980998767893,"ipw","all.covariates.wrong","B"
"18","100",0.805386656332497,"t-learner","all.covariates.wrong","B"
"19","100",0.879625961529785,"aipw","all.covariates.wrong","B"
"20","100",0.833566457245335,"tmle","all.covariates.wrong","B"
"21","100",0.773729582473639,"causal.forest","all.covariates.correct","B"
"22","100",0.936187832223199,"ipw","all.covariates.correct","B"
"23","100",0.95224764816744,"t-learner","all.covariates.correct","B"
"24","100",0.919329506586767,"aipw","all.covariates.correct","B"
"25","100",0.929499306045097,"tmle","all.covariates.correct","B"
"26","100",0.840775014951828,"causal.forest","minimal.set","B"
"27","100",0.95405711633849,"ipw","minimal.set","B"
"28","100",0.844086008717104,"t-learner","minimal.set","B"
"29","100",0.875549375144397,"aipw","minimal.set","B"
"30","100",0.933156176886074,"tmle","minimal.set","B"
"31","100",-0.284046214368761,"causal.forest","all.covariates.wrong","C"
"32","100",-0.777642048261795,"ipw","all.covariates.wrong","C"
"33","100",-0.7742640517047,"t-learner","all.covariates.wrong","C"
"34","100",-0.713818412656105,"aipw","all.covariates.wrong","C"
"35","100",0.894415079519013,"tmle","all.covariates.wrong","C"
"36","100",-0.245673539945493,"causal.forest","all.covariates.correct","C"
"37","100",-0.560493979504321,"ipw","all.covariates.correct","C"
"38","100",-0.691366107785199,"t-learner","all.covariates.correct","C"
"39","100",-0.575626485793106,"aipw","all.covariates.correct","C"
"40","100",0.793113656971476,"tmle","all.covariates.correct","C"
"41","100",0.191620638277318,"causal.forest","minimal.set","C"
"42","100",-0.595437345691149,"ipw","minimal.set","C"
